bir,One
bu,This 
ne,What
ve,And
için,for  
mi,Is it
de,also
o,he
ben,I
çok,A lot
ama,But
evet,Yes
var,there is
da,in
mı,Is it
değil,not
şey,thing
hayır,No
daha,more
sen,you
kadar,much
bana,To me
gibi,like
yok,no
bunu,this
onu,him
iyi,Good
tamam,Ok
beni,Me
seni,You
her,each
benim,Mine
sana,to you
ki,that
ya,either
neden,From where
zaman,time
sadece,Only
senin,your
burada,Here
olduğunu,is
nasıl,How
hiç,none
sonra,later
şimdi,Now
en,-most
öyle,like that
mu,Is it
şu,This
misin,are you
önce,before
biraz,A little
hadi,Come on
güzel,Beautiful
musun,are you
oldu,happened
yani,well
böyle,like this
ona,him
İyi,Good
lütfen,Please
onun,his
bile,even    
bak,look
çünkü,Because
peki,Alright
eğer,if
artık,Now
gerçekten,Really
geri,back
biliyorum,I know
istiyorum,I want
kim,who
olarak,aspect
başka,Another
belki,maybe
tek,only
doğru,TRUE
büyük,big
olan,the one which...
biri,someone
olur,It is possible
buraya,here
bay,Mr
in,of
olacak,will be
adam,man
ile,with
hiçbir,no
biz,We
yardım,help
demek,means
hey,Hey
sanırım,I think
ın,of
bilmiyorum,I don't know
bunun,this
tüm,all
teşekkürler,thanks
fazla,more
yeni,new
gün,day
ederim,I do
nerede,where
tanrım,my god
a,a
şeyi,thing
merhaba,Hello
efendim,Sir
orada,there
son,last
kötü,bad
şeyler,things
gece,night
biliyor,knows
sorun,problem
iki,two
harika,Wonderful
gerek,necessary
et,meat
tam,full
İşte,At work
bütün,all
diye,saying
hemen,immediately
siz,you
üzgünüm,I am sad
ol,be
olabilir,it could be
i,i
olsun,let it be
küçük,Small
size,you
yüzden,that's why
bayan,woman
aynı,same
teşekkür,Thanks
hakkında,about
tabii,of course
gel,come
onları,Them 
kendi,own
kız,girl
nin,of
devam,continue
bize,to us
e,to
oluyor,it's happening
ver,give
izin,permission
iş,work
bizi,we
buna,to this
anne,mother
selam,hi
vardı,there was
geldi,came
bizim,ours
sizi,you
dur,Stop
kimse,noone
göre,according to
asla,never
özür,apology
seninle,With you
baba,father
değilim,I am not
aslında,Actually
önemli,important
tekrar,again
git,go
nın,of
yoksa,or?
hala,still
işte,at work
oh,oh
benimle,with me 
içinde,inside
mısın,are you
yine,again
mü,Is it
bence,according to me
şekilde,way
olmak,to be
bugün,Today
söyle,Like this
birlikte,together
olmaz,Impossible
pekala,ok
uzun,LONG
lazım,required
biliyorsun,you know
zaten,already
para,money
ilk,first
geliyor,is coming
onunla,with it
gerçek,real
dostum,my friend
al,take it